title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,time_signature,valence,tempo,cluster
Se Eu Quiser Falar Com Deus                                                                                                                                                       - Gilberto Gil                                    ,0.6996527777777778,0.1453331369372023,1.0,0.1991079112274705,0.0,0.6079931972789115,0.7943165204678366,0.3483478669744378,0.9979002624671915,0.5,0.3756038647342994,0.4097749396351684,25
Saudade De Bahia                                                                                                                                                                  - Antônio Carlos Jobim                            ,0.8363363363363363,0.2071979182010114,0.2777777777777778,0.2099075185144782,1.0,0.1546840958605664,0.6005824372759858,0.2398252184769039,0.3675213675213675,0.5,0.7602235951750518,0.6028780068728523,23
"Canta Canta, Minha Gente                                                                                                                                                        - Martinho Da Vila                                ",0.9321637426900584,0.4959128065395095,0.2777777777777778,0.2681050045872917,1.0,0.9161896374578012,0.71186255198074,0.3498546635889544,0.4814814814814814,0.5,0.9430199430199432,0.209213519482044,20
Mulher Eu Sei                                                                                                                                                                     - Chico César                                     ,0.7807807807807807,0.0307221542227662,0.3888888888888888,0.1086705532248314,1.0,0.3928012519561815,0.8703855994152047,0.3425130375309908,0.894838145231846,0.5,0.6041666666666667,0.3709604433873812,18
Rosa Morena                                                                                                                                                                       - Kurt Elling                                     ,0.6875,0.0728274173806609,0.5555555555555556,0.1042806624272567,1.0,0.2281746031746032,0.8855994152046783,0.4394930324014705,0.3418803418803419,0.5,0.4831349206349207,0.532839364074527,39
Desafinado                                                                                                                                                                        - Stan Getz                                       ,0.4126495726495727,0.0893512851897185,0.3333333333333333,0.1102661695608293,1.0,0.5722789115646258,0.8996913580246914,0.6472619281138813,0.3675213675213675,0.5,0.503968253968254,0.810148783919866,26
Madalena                                                                                                                                                                          - Maria Gasolina                                  ,0.7291666666666667,0.1223547896106446,1.0,0.1842939044640801,0.0,0.4827980459411703,0.949074074074074,0.7124783593021708,0.4102564102564102,0.5,0.7522800823771701,0.2075489459916229,25
O Meu Amor É Glòria                                                                                                                                                               - Sílvia Pérez Cruz                               ,0.4546783625730994,0.5,0.6666666666666666,0.2826659563763355,1.0,0.9223543226185232,0.7951388888888893,0.3475143199110883,0.9450568678915136,0.5,0.9294871794871796,0.24304518629124,38
Brigas Nunca Mais                                                                                                                                                                 - Paula Morelenbaum                               ,0.7621527777777777,0.3048245614035088,0.8888888888888888,0.2501701737251768,1.0,0.2678571428571429,0.6938060844823815,0.5979063974470117,0.5891472868217054,0.5,0.7143277434539572,0.9157691017964072,4
Previsao                                                                                                                                                                          - Bossacucanova                                   ,0.7274305555555556,0.6971326164874552,0.1666666666666666,0.4416010056793948,1.0,0.2321428571428571,0.77358284088422,0.7012917831935013,0.5509259259259259,0.5,0.6160714285714286,0.2887736419226394,18
The Girl From Ipanema                                                                                                                                                             - Stan Getz                                       ,0.6701388888888888,0.0856793145654835,0.7222222222222221,0.1194962607420336,1.0,0.248015873015873,0.865451388888889,0.461045071396584,0.3504273504273504,0.5,0.4692460317460317,0.6820045931758533,39
Blue Bossa - Remastered                                                                                                                                                           - Joe Henderson                                   ,0.427008547008547,0.2222222222222222,0.4444444444444444,0.3186687975376601,0.0,0.470637147905623,0.7627489603852049,0.7684112398455187,0.376068376068376,0.5,0.9373219373219374,0.1090695400303696,25
Aqua De Coco                                                                                                                                                                      - Marcos Valle                                    ,0.8558558558558558,0.4986376021798365,0.8888888888888888,0.3323862795584362,0.0,0.5780187074829931,0.7230247318888162,0.4514792329189553,0.9067366579177604,0.5,0.876448697501329,0.1526977608551677,0
Samba de Verão                                                                                                                                                                    - Marcos Valle                                    ,0.7673611111111109,0.2098492659694604,0.0,0.1675599675163327,1.0,0.1080436264485344,0.8432474415204679,0.3798623578695392,0.8595848595848595,0.5,0.9002849002849003,0.4596072225019783,18
Mas Que Nada                                                                                                                                                                      - Rio Combo                                       ,0.6313131313131313,0.2997076023391813,0.4444444444444444,0.2089693708107584,0.0,0.1063394683026584,0.5595878136200717,0.4671672080222664,0.6723646723646723,0.5,0.9508547008547008,0.1588576795203193,25
Nova Bossa Nova                                                                                                                                                                   - Marcos Valle                                    ,0.5976430976430976,0.5081743869209809,0.7222222222222221,0.2879043475687354,1.0,0.3630672926447574,0.7348435106150145,0.774603808762818,0.5710594315245477,0.5,0.925925925925926,0.2224207195676905,39
Não Sei                                                                                                                                                                           - Sílvia Pérez Cruz                               ,0.3261105092091011,0.0529987760097919,0.1666666666666666,0.1789050095148055,0.0,0.259920634920635,0.9722222222222222,0.4649989513006706,0.7393162393162392,0.0833333333333333,0.1978570003704653,0.4170078591933738,2
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                     - Chico César                                     ,0.5409356725146199,0.0685434516523867,0.2777777777777778,0.2553197786261801,1.0,0.2976190476190476,0.8749086257309941,0.0,0.8656898656898657,0.5,0.3828502415458937,0.3880110195230907,18
Aquarela Do Brasil                                                                                                                                                                - Carlos Barbosa-Lima                             ,0.3685470085470087,0.1422398978740118,0.3888888888888888,0.105689474899528,0.0,0.3865414710485133,0.949074074074074,0.8974358974358974,0.3504273504273504,0.5,0.5188492063492064,0.1073602561010836,2
Brigas Nunca Mais                                                                                                                                                                 - Brazilian Jazz                                  ,0.4912280701754387,0.1528452889478077,0.0,0.1616256378555931,1.0,0.3708920187793427,0.9629629629629628,0.8823576842444767,0.5231481481481481,0.5,0.3442028985507246,0.2372991325369738,6
