title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,time_signature,valence,tempo
All Shook Up - Elvis Presley,0.19121048573631444,-0.12551020408163277,0.8333333333333334,-0.3483783783783786,0.0,1.6618740704015866,0.5876180482686254,-0.000755242566510172,0.23152270703472835,0.0,0.9411182582879762,-0.8047293469664762
I've Got You Under My Skin - Remastered 1998 - Frank Sinatra,0.0709329221279874,-0.5765306122448981,-0.6666666666666666,-0.39702702702702714,0.0,-0.16261774913237478,0.04197271773347328,-0.0007395931142410015,-0.09795191451469275,0.0,0.22662048490846115,0.38458475189437474
Smoke Gets In Your Eyes - The Platters,-0.8388589051657676,-0.6173469387755104,-0.3333333333333333,-0.44545945945945964,0.0,-0.33911750123946455,0.6677477821234379,-0.000297339593114241,4.4434550311665175,0.0,-0.49975259772389896,0.09579844187311742
"What'd I Say, Pt. 1 & 2 - Ray Charles",-0.06784888203546653,0.3091836734693877,-0.16666666666666666,0.37832432432432417,0.0,0.05156172533465539,0.4947693090400332,-0.0007949921752738654,0.3918076580587712,0.0,0.6284017812963881,-0.4851170277804263
Dream A Little Dream Of Me - Ella Fitzgerald,-0.3299922898997689,-0.739795918367347,-0.8333333333333334,-0.5052432432432433,0.0,0.5096678235002478,0.6346783681516106,-0.0007949921752738654,0.4897595725734638,0.0,-0.14349332013854518,-0.7603300222669681
That'll Be The Day - Buddy Holly,-0.08018504240555137,0.21938775510204067,-0.5,0.1259999999999999,0.0,-0.27565691621219635,0.06105122579414295,-0.0007949921752738654,-0.3045414069456811,0.0,0.6363186541316181,0.11738113533492961
Blueberry Hill - Fats Domino,-0.22513492675404806,-0.062244897959183844,1.0,-0.08243243243243255,0.0,-0.4184432325235498,0.40828007249833065,0.0006823161189358372,0.3383793410507569,-1.0,0.6976744186046512,0.5234812749942508
Mack the Knife - Bobby Darin,-0.040092521202775684,-0.0010204081632654203,-0.3333333333333333,-0.3623243243243245,-1.0,1.1859196826970748,0.43371808324589023,-0.0007949921752738654,0.7836153161175422,0.0,-0.024740227610093927,-0.6114273855662934
All I Have to Do Is Dream - The Everly Brothers,-0.06168080185042413,-0.372448979591837,-0.16666666666666666,-0.5482702702702703,0.0,-0.4243926623698562,0.4629717956055837,-0.0007949921752738654,0.23152270703472835,0.0,0.23651657595249875,-0.14131952818706509
Sea Of Love - Phil Phillips,-0.8419429452582888,-0.3602040816326533,0.3333333333333333,-0.3635135135135136,0.0,-0.37679722359940504,0.5634519380584438,-0.0007865414710485132,0.4808548530721281,0.0,-0.3255813953488372,-0.5512785278000571
True Love Ways - Buddy Holly,-1.0516576715497306,-0.8275510204081634,0.8333333333333334,-1.1465405405405409,0.0,-0.2697074863658899,0.48459410474100933,0.6439624413145539,1.7631344612644702,0.0,-0.39683325086590787,-0.6120555720703793
That's Amore - Dean Martin,-0.4780262143407868,-0.7336734693877552,0.8333333333333334,-0.4831891891891894,0.0,-0.2796232027764006,0.43371808324589023,-0.0007949921752738654,-0.39447907390917175,0.0,0.19891142998515582,0.3149682261022706
Johnny B. Goode - Chuck Berry,-0.14186584425597548,0.5479591836734693,0.8333333333333334,-0.011837837837837902,0.0,0.6901338621715419,0.4057362714235747,6.259780907668214e-06,1.6651825467497772,0.0,0.9747649678377042,1.3054388611876082
Jambalaya (On The Bayou) - Fats Domino,0.13261372397841154,0.643877551020408,0.16666666666666666,0.028918918918918735,-1.0,0.226078334159643,0.5087602149511908,0.0008763693270735524,1.2021371326803205,0.0,0.966848095002474,-0.7781884671688418
I Can't Stop Loving You - Ray Charles,-0.7771781033153434,-0.5112244897959185,0.0,-0.4986486486486487,0.0,-0.3450669310857709,0.5036726128016789,-0.0007949921752738654,1.7809439002671414,-1.0,-0.19693221177634831,-0.6867648955920376
Wake up Little Susie - The Everly Brothers,0.4533538936006166,0.18469387755102024,-0.5,-0.047837837837837925,0.0,-0.28160634605850265,-0.12846195427517565,-0.0007949921752738654,-0.6714158504007123,0.0,0.9094507669470561,-0.3653577578228852
Beyond the Sea - Bobby Darin,-0.12644564379336945,-0.027551020408163405,-0.5,0.1603783783783782,-1.0,-0.22409519087754085,0.386657763362905,-0.0007949921752738654,1.2377560106856633,0.0,0.18307768431469565,0.5939727748456173
Rave On - Buddy Holly,0.012336160370084483,0.3704081632653059,-0.8333333333333334,0.25983783783783776,0.0,-0.2915220624690133,0.24420490317657162,-0.0007537402190923318,2.6625111308993765,0.0,0.9589312221672439,1.1132586614018647
"Good Golly, Miss Molly - Little Richard",0.02467232074016931,0.680612244897959,0.3333333333333333,-0.20329729729729745,0.0,0.08725830441249381,0.20604788705523228,0.024995305164319248,1.736420302760463,0.0,0.8560118753092529,1.2076661188730775
Unforgettable - Nat King Cole,-0.6569005397070166,-0.7091836734693879,0.0,-0.49378378378378385,0.0,-0.34110064452156663,0.6372221692263667,0.09435367762128324,0.22261798753339263,-1.0,-0.590796635329045,0.5852454694852791
Broken Hearted Melody - Sarah Vaughan,-0.3515805705474173,-0.06020408163265323,0.3333333333333333,-0.2556216216216218,0.0,-0.2498760535448686,0.4133676746478426,-0.0007949921752738654,0.6500445235975068,0.0,0.5769421078673925,0.5033344363989207
Ain't That A Shame - Fats Domino,-0.23438704703161167,-0.05816326530612261,-0.16666666666666666,0.0399459459459458,0.0,-0.3093703520079326,0.44262138700753606,-0.0003192488262910798,-0.44612644701691884,0.0,0.921326076199901,0.2891004032733002
