title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,time_signature,valence,tempo
All Shook Up - Elvis Presley,0.6016847172081828,0.4418671248568156,0.8888888888888888,0.35783996665373063,1.0,0.8134554412267364,0.7672305764411027,0.3561965005035247,0.6158392434988182,0.5555555555555556,0.9736,0.09339546965124715
I've Got You Under My Skin - Remastered 1998 - Frank Sinatra,0.5335515548281505,0.25477178423236513,0.2222222222222222,0.3384358874850877,1.0,0.2995555555555557,0.5048455190942238,0.367997860020141,0.40545808966861596,0.5555555555555556,0.620286953620287,0.6710342799407173
Smoke Gets In Your Eyes - The Platters,0.16975308641975306,0.23817427385892118,0.3333333333333333,0.32269480659179905,1.0,0.09338061465721043,0.8639304862266592,0.4575580493077964,0.9373830185468777,0.5555555555555556,0.25806451612903225,0.5343734881470731
"What'd I Say, Pt. 1 & 2 - Ray Charles",0.4599018003273323,0.6765632028789929,0.38888888888888884,0.7749184605348989,1.0,0.5322274062554,0.6986215538847118,0.0,0.6725806451612906,0.5555555555555556,0.8291284403669725,0.21803308282576492
Dream A Little Dream Of Me - Ella Fitzgerald,0.3282331511839709,0.18260907108779656,0.0,0.3048491889333506,1.0,0.6896096096096096,0.8206692549454614,0.0,0.6903225806451615,0.5555555555555556,0.4240705734089477,0.10095496390236446
That'll Be The Day - Buddy Holly,0.4533551554828151,0.6253753753753757,0.2777777777777778,0.5747341620488243,1.0,0.15308641975308637,0.5113222030320477,0.0,0.19782056424655697,0.5555555555555556,0.8337155963302753,0.5430999032414127
Blueberry Hill - Fats Domino,0.3793103448275862,0.4743589743589744,1.0,0.4680724887935395,1.0,0.046099290780141855,0.648198442875249,0.49524528140335106,0.6583924349881802,0.1111111111111111,0.8692660550458715,0.7251140675000075
Mack the Knife - Bobby Darin,0.47463175122749596,0.5064102564102565,0.3333333333333333,0.35227746395871967,0.0,0.7879966526407599,0.6590621039290241,0.0,0.7435483870967742,0.5555555555555556,0.48683082200171507,0.15538146145076762
All I Have to Do Is Dream - The Everly Brothers,0.4631751227495909,0.33791523482245134,0.38888888888888884,0.29200550750828286,1.0,0.042553191489361736,0.675125313283208,0.0,0.6158392434988182,0.5555555555555556,0.625291958625292,0.43558470240912267
Sea Of Love - Phil Phillips,0.16898148148148145,0.34306987399770905,0.6666666666666666,0.3518031420234862,1.0,0.07092198581560286,0.7493734335839599,0.3217797443461162,0.688709677419355,0.5555555555555556,0.3371140516698172,0.18521609678049555
True Love Ways - Buddy Holly,0.11651234567901235,0.14083716512315697,0.8888888888888888,0.13478108016206458,1.0,0.16049382716049382,0.6911027568922306,0.7010697366100479,0.8719217626958877,0.5555555555555556,0.3046594982078853,0.15506987257003949
That's Amore - Dean Martin,0.27577413479052826,0.18552339010858537,0.8888888888888888,0.3114323824276064,1.0,0.14814814814814814,0.6590621039290241,0.0,0.13705040780853056,0.5555555555555556,0.6062729396062729,0.6378507431844015
Johnny B. Goode - Chuck Berry,0.4216300940438872,0.829059829059829,0.8888888888888888,0.5022412921005355,1.0,0.7224024024024024,0.6471120767698714,0.46923747906264884,0.8602568634381995,0.5555555555555556,0.9872,0.9026499402384333
Jambalaya (On The Bayou) - Fats Domino,0.5673886883273165,0.8864468864468864,0.5555555555555556,0.521968150977622,0.0,0.6088013615365914,0.7089598997493733,0.5027104839270711,0.8051137033109461,0.5555555555555556,0.984,0.09791435883723595
I Can't Stop Loving You - Ray Charles,0.18518518518518517,0.2813278008298756,0.4444444444444444,0.3068176928703585,1.0,0.0898345153664303,0.7052005012531327,0.0,0.8740426534700129,0.1111111111111111,0.39855072463768115,0.11801305211200386
Wake up Little Susie - The Everly Brothers,0.7441983122362869,0.6062312312312315,0.2777777777777778,0.48481677219053604,1.0,0.1456790123456791,0.4469871425829975,0.0,0.049977179370150615,0.5555555555555556,0.9608000000000001,0.296865753974224
Beyond the Sea - Bobby Darin,0.42946708463949845,0.49252136752136755,0.2777777777777778,0.5985472517597723,0.0,0.21728395061728398,0.6389643309795401,0.0,0.8093554848591964,0.5555555555555556,0.5982649315982649,0.7525601493141392
Rave On - Buddy Holly,0.5024549918166938,0.7170490328385066,0.0,0.6676777560339204,1.0,0.13333333333333341,0.5781278290783994,0.35732943101711984,0.9033520503658329,0.5555555555555556,0.9808,0.8738234754960523
"Good Golly, Miss Molly - Little Richard",0.509001636661211,0.9008202833706189,0.6666666666666666,0.4157072427522171,1.0,0.5577437393629954,0.5618323374977368,0.6046099290780148,0.8687404265347001,0.5555555555555556,0.9392,0.8915199869239648
Unforgettable - Nat King Cole,0.21527777777777773,0.19718066619174063,0.4444444444444444,0.3082698679058561,1.0,0.09219858156028371,0.823997041967092,0.6690323718475002,0.612293144208038,0.1111111111111111,0.21652962260172887,0.749162146186928
Broken Hearted Melody - Sarah Vaughan,0.3205828779599272,0.47542735042735046,0.6666666666666666,0.3948370776019433,1.0,0.18518518518518517,0.650371175086004,0.0,0.7193548387096775,0.5555555555555556,0.7993119266055047,0.7172698340598133
Ain't That A Shame - Fats Domino,0.37460815047021945,0.4764957264957265,0.38888888888888884,0.5273053913104147,1.0,0.1111111111111111,0.6628643852978453,0.45671520386157,0.10771337288909173,0.5555555555555556,0.9656,0.6250867171471168
Dream Lover - Bobby Darin,0.4373040752351097,0.7997557997557997,0.4444444444444444,0.9420903365725487,1.0,0.4560221185415587,0.63461886655803,0.0,0.9067551471839373,0.5555555555555556,0.7437934458788481,0.710910589132796
