title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,time_signature,valence,tempo
Aqua De Coco                                                                                                                                                                      - Marcos Valle                                    ,0.7807652533609101,0.732,0.9090909090909092,0.8216230315281536,0.0,0.07167755991285403,0.4889558232931727,0.0009238578680203045,0.4599797365754813,0.8,0.8284263959390862,0.41136501705687184
Samba de Verão                                                                                                                                                                    - Marcos Valle                                    ,0.7207859358841778,0.405,0.0,0.740324736721985,1.0,0.03453159041394335,0.8162650602409638,0.00015939086294416242,0.3323201621073962,0.8,0.8578680203045684,0.5366278798074676
Mas Que Nada                                                                                                                                                                      - Rio Combo                                       ,0.6390899689762152,0.539,0.4545454545454546,0.7712660167585015,0.0,0.03398692810457516,0.1566265060240964,0.0021725888324873096,0.1894630192502533,0.8,0.9299492385786802,0.41425300247675123
Nova Bossa Nova                                                                                                                                                                   - Marcos Valle                                    ,0.6184074457083765,0.739,0.7272727272727273,0.8052883831632487,1.0,0.049237472766884526,0.5251004016064258,0.7360406091370557,0.14792299898682879,0.8,0.8944162436548223,0.444030094864246
Não Sei                                                                                                                                                                           - Sílvia Pérez Cruz                               ,0.39503619441571874,0.0866,0.09090909090909091,0.7488017997456882,0.0,0.043137254901960784,0.9819277108433735,0.002,0.23708206686930094,0.6000000000000001,0.15939086294416244,0.5189120986962008
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                     - Chico César                                     ,0.5822130299896587,0.112,0.18181818181818182,0.7933226826644061,1.0,0.045206971677559916,0.893574297188755,0.0,0.3373860182370821,0.8,0.31675126903553297,0.5064348801345857
Aquarela Do Brasil                                                                                                                                                                - Carlos Barbosa-Lima                             ,0.43743536711478803,0.252,0.36363636363636365,0.6640800756414855,0.0,0.0508714596949891,0.9668674698795181,0.914720812182741,0.10638297872340426,0.8,0.4446700507614213,0.37863918874713776
Brigas Nunca Mais                                                                                                                                                                 - Brazilian Jazz                                  ,0.547052740434333,0.276,0.0,0.7358905806788172,1.0,0.04978213507625272,0.9759036144578314,0.898477157360406,0.13475177304964542,0.8,0.28426395939086296,0.4492452918360671
Águas De Março                                                                                                                                                                    - Antônio Carlos Jobim                            ,0.6608066184074457,0.552,0.2727272727272727,0.8267581754752046,1.0,0.1383442265795207,0.8353413654618473,0.0,0.12360688956433638,0.8,0.48121827411167506,0.6693817468105987
Aquarela Do Brasil                                                                                                                                                                - Voyager                                         ,0.4643226473629783,0.145,0.8181818181818182,0.6564507189201526,1.0,0.052723311546840956,0.9407630522088355,0.932994923857868,0.0779128672745694,0.6000000000000001,0.30862944162436545,0.42679564465629233
Chega De Saudade                                                                                                                                                                  - João Gilberto                                   ,0.44053774560496384,0.245,0.36363636363636365,0.7175670829121972,0.0,0.03671023965141612,0.7379518072289157,0.0,0.1914893617021277,0.8,0.6964467005076143,0.8219916818542923
